City,State,Population
Galveston, Texas,"50,396"
Mishawaka, Indiana,"49,810"
Plainfield, New Jersey,"50,430"
Newark, Ohio,"50,001"
Stillwater, Oklahoma,"50,479"
Twin Falls, Idaho,"49,713"
Texas City, Texas,"49,078"
Cerritos, California,"50,288"
Coral Gables, Florida,"50,125"
Enid, Oklahoma,"49,723"
Lakewood, Ohio,"50,012"
Troy, New York,"49,354"
Saginaw, Michigan,"48,310"
Niagara Falls, New York,"48,012"
Charleston, West Virginia,"47,172"
